name,height,weight,pick_round,pick_in_round,pick_overall,draft_year
alaa abdelnaby,82,240,1,25,25,1990
zaid abdul-aziz,81,235,1,5,5,1968
kareem abdul-jabbar,86,225,1,1,1,1969
mahmoud abdul-rauf,73,162,1,3,3,1990
tariq abdul-wahad,78,223,1,11,11,1997
shareef abdur-rahim,81,225,1,3,3,1996
tom abernethy,79,220,3,9,43,1976
alex abrines,78,190,2,2,32,2013
alex acker,77,185,2,30,60,2005
mark acres,83,220,2,16,40,1985
quincy acy,79,240,2,7,37,2012
alvan adams,81,210,1,4,4,1975
don adams,78,210,8,1,120,1970
george adams,77,210,3,16,46,1972
hassan adams,76,220,2,24,54,2006
jordan adams,77,209,1,22,22,2014
michael adams,70,162,3,19,66,1985
steven adams,84,255,1,12,12,2013
rafael addison,79,215,2,15,39,1986
bam adebayo,82,243,1,14,14,2017
rick adelman,73,175,7,1,79,1968
arron afflalo,77,210,1,27,27,2007
maurice ager,77,202,1,28,28,2006
mark aguirre,78,232,1,1,1,1981
danny ainge,76,175,2,8,31,1981
matthew aitch,79,230,13,2,135,1967
alexis ajinca,86,248,1,20,20,2008
henry akin,82,225,2,1,11,1966
solomon alabi,85,251,2,20,50,2010
mark alarie,80,217,1,18,18,1986
gary alcorn,81,225,3,2,16,1959
furkan aldemir,82,240,2,23,53,2012
cole aldrich,83,250,1,11,11,2010
lamarcus aldridge,83,260,1,2,2,2006
chuck aleksinas,83,260,4,7,76,1982
cory alexander,73,185,1,29,29,1995
courtney alexander,77,205,1,13,13,2000
joe alexander,80,230,1,8,8,2008
victor alexander,81,265,1,17,17,1991
steve alford,74,183,2,3,26,1987
bob allen,81,205,6,7,71,1968
jarrett allen,82,234,1,22,22,2017
jerome allen,76,184,2,20,49,1995
kadeem allen,75,192,2,23,53,2017
lavoy allen,81,260,2,20,50,2011
lucius allen,74,175,1,3,3,1969
ray allen,77,205,1,5,5,1996
tony allen,76,213,1,25,25,2004
willie allen,78,230,4,9,60,1971
odis allison,78,195,5,8,76,1971
darrell allums,81,220,5,11,103,1980
morris almond,78,225,1,25,25,2007
derrick alston,83,225,2,6,33,1994
rafer alston,74,171,2,10,39,1998
al-farouq aminu,81,220,1,8,8,2010
bob anderegg,75,200,3,6,20,1959
david andersen,83,245,2,8,37,2002
andrew anderson,74,184,8,9,88,1967
cliff anderson,74,200,4,4,35,1967
dan anderson,74,185,6,2,92,1974
derek anderson,77,194,1,13,13,1997
dwight anderson,75,185,2,18,41,1982
greg anderson,82,230,1,23,23,1987
j.j. anderson,80,195,2,13,36,1982
james anderson,78,213,1,20,20,2010
jerome anderson,77,195,3,17,53,1975
justin anderson,78,228,1,21,21,2015
kenny anderson,72,168,1,2,2,1991
