,Player,Signed,Dollars_Per_Year
1,Rashard Lewis,2007,19700000.0
2,Vince Carter,2007,15411031.25
3,Chauncey Billups,2007,12100000.0
4,Mo Williams,2007,8543833.333333334
5,Luke Walton,2007,5048560.5
6,Matt Carroll,2007,4483333.333333333
7,Darko Milicic,2007,7000000.0
8,Jerry Stackhouse,2007,7000000.0
10,Andray Blatche,2007,4110350.4
11,Sasha Pavlovic,2007,4500000.0
12,Steve Blake,2007,4476666.666666667
13,DeShawn Stevenson,2007,3172178.75
14,Anderson Varejao,2007,5550000.0
15,Matt Bonner,2007,2980000.0
16,Chuck Hayes,2007,1900562.5
17,Chucky Atkins,2007,3120000.0
18,Grant Hill,2007,1903200.0
19,Mickael Pietrus,2007,3470770.0
20,Matt Barnes,2007,3000000.0
21,Ronnie Price,2007,1144000.0
22,Malik Allen,2007,998398.0
23,Royal Ivey,2007,798328.0
24,Roger Mason,2007,798328.0
25,Beno Udrih,2007,788349.0
26,C.J. Miles,2007,770610.0
27,Dahntay Jones,2007,0.0
29,Earl Barron,2007,0.0
30,Kelenna Azubuike,2007,0.0
31,James White,2007,0.0
32,P.J. Tucker,2007,0.0
33,Gerald Wallace,2007,0.0
34,Leandro Barbosa,2007,0.0
35,Travis Outlaw,2007,0.0
36,Chris Kaman,2007,0.0
37,Anfernee Hardaway,2007,0.0
38,Ersan Ilyasova,2007,0.0
39,James Jones,2007,0.0
40,Anthony Tolliver,2007,0.0
41,Alan Anderson,2007,0.0
1,Gilbert Arenas,2008,18500000.0
2,Andre Iguodala,2008,13416666.666666666
4,Elton Brand,2008,15960000.0
5,Emeka Okafor,2008,12000000.0
7,Luol Deng,2008,11834237.5
9,Monta Ellis,2008,11000000.0
11,Josh Smith,2008,11600000.0
13,Corey Maggette,2008,9600000.0
15,Jose Calderon,2008,9000000.0
17,Beno Udrih,2008,6478600.0
18,DeSagana Diop,2008,6478600.0
21,Louis Williams,2008,5200000.0
23,Mickael Pietrus,2008,5300000.0
25,Daniel Gibson,2008,4200000.0
27,C.J. Miles,2008,3700000.0
29,Chris Duhon,2008,5808400.0
31,Kelenna Azubuike,2008,3110666.6666666665
32,Kurt Thomas,2008,4000000.0
33,Kwame Brown,2008,4000000.0
36,Sebastian Telfair,2008,2500000.0
38,Ben Gordon,2008,6400000.0
