,2P,2P.1,2PA,3P,3P.1,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,Player,STL,TOV,TRB,Year,Traded,Pos_C,Pos_C-PF,Pos_C-SF,Pos_F,Pos_G-F,Pos_PF,Pos_PF-C,Pos_PF-SF,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-PF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-PG,Pos_SG-SF
0,1.5,0.472,3.2,1.1,0.345,3.1,1.9,23,0.1,1.4,2.6,0.41,6.3,1.1,0.8,1.3,56,2,15.4,0.2,0.9,7.3,A.J. Price,0.6,1.1,1.6,2010.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1.5,0.427,3.4,0.8,0.275,3,2.2,24,0,1.1,2.3,0.356,6.4,1.1,0.667,1.6,50,0,15.9,0.3,1.2,6.5,A.J. Price,0.6,1.1,1.4,2011.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0.8,0.384,2,0.6,0.295,2,2,25,0,1.1,1.3,0.339,4,0.6,0.8,0.8,44,1,12.9,0.3,0.7,3.9,A.J. Price,0.5,0.7,1.4,2012.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,1.6,0.427,3.7,1.2,0.35,3.5,3.6,26,0.1,1.6,2.8,0.39,7.2,0.9,0.79,1.1,57,22,22.4,0.4,1.3,7.7,A.J. Price,0.6,1.1,2,2013.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0.5,0.542,0.9,0.2,0.273,0.8,0.5,27,0,0.3,0.7,0.413,1.6,0,0,0.1,28,0,3.5,0,0.2,1.6,A.J. Price,0,0.3,0.4,2014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,1.1,0.491,2.3,0.7,0.33,2.1,1.7,23,0.1,0.8,1.8,0.413,4.4,0.8,0.857,1,51,0,11.9,0.3,1.4,5.2,Aaron Brooks,0.3,0.9,1.1,2008.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,2.5,0.428,5.9,1.4,0.366,3.9,3,24,0.1,1.6,4,0.404,9.8,1.9,0.866,2.2,80,35,25,0.4,1.9,11.2,Aaron Brooks,0.6,1.6,2,2009.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,4.5,0.454,9.8,2.5,0.398,6.4,5.3,25,0.2,2,7,0.432,16.2,3,0.822,3.6,82,82,35.6,0.7,2.4,19.6,Aaron Brooks,0.8,2.8,2.6,2010.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,2.5,0.427,5.9,1.2,0.297,4,3.9,26,0.1,1,3.7,0.375,9.9,2.1,0.886,2.4,59,12,21.8,0.3,1.9,10.7,Aaron Brooks,0.6,1.7,1.3,2011.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,1.8,0.511,3.4,0.9,0.373,2.5,2.2,28,0.2,1.3,2.7,0.453,6,0.8,0.769,1,53,20,18.8,0.2,1.8,7.1,Aaron Brooks,0.6,1.3,1.5,2013.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
