,2P,2P.1,2PA,3P,3P.1,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,STL,TOV,TRB,Traded,Pos_C,Pos_C-PF,Pos_C-SF,Pos_F,Pos_G-F,Pos_PF,Pos_PF-C,Pos_PF-SF,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-PF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-PG,Pos_SG-SF,player_year,Player,Age,Tm,PER,TS%,3PAr,FTr,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,Signed,Dollars_Per_year
3608,5.1,0.499,10.1,2.4,0.4,6.1,1.3,0.9,3.9,7.5,0.462,16.2,3.1,0.777,4.0,71,71,38.0,1.5,2.2,20.5,1.1,1.7,5.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Rashard Lewis2005,Rashard Lewis,25,SEA,19.4,0.5710000000000001,0.375,0.24600000000000002,6.9,1.5,8.4,0.15,3.5,-0.9,2.6,3.2,2005,2007,19700000.0
3609,5.1,0.507,10.0,1.8,0.384,4.7,2.3,0.6,3.6,6.9,0.467,14.8,4.5,0.818,5.5,78,77,36.9,1.4,2.4,20.1,1.3,1.8,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Rashard Lewis2006,Rashard Lewis,26,SEA,20.0,0.585,0.321,0.37200000000000005,8.2,0.1,8.3,0.138,4.0,-1.8,2.2,3.1,2006,2007,19700000.0
3610,5.2,0.505,10.3,2.5,0.39,6.5,2.4,0.7,5.1,7.7,0.461,16.8,4.4,0.841,5.3,60,60,39.1,1.5,2.4,22.4,1.1,2.0,6.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Rashard Lewis2007,Rashard Lewis,27,SEA,20.7,0.5870000000000001,0.385,0.313,6.3,1.3,7.6,0.155,4.0,-1.1,3.0,2.9,2007,2007,19700000.0
4454,7.4,0.46299999999999997,15.9,1.6,0.406,4.1,4.2,0.6,3.8,9.0,0.452,20.0,4.8,0.7979999999999999,6.0,77,76,36.7,1.4,3.2,24.5,1.4,2.2,5.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Vince Carter2005,Vince Carter,28,TOT,22.9,0.541,0.203,0.299,5.9,3.5,9.4,0.159,5.0,-0.2,4.8,4.8,2005,2007,15411031.25
4455,6.7,0.45899999999999996,14.6,1.6,0.341,4.6,4.3,0.7,4.1,8.3,0.43,19.2,6.1,0.799,7.6,79,79,36.8,1.7,3.0,24.2,1.2,2.7,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Vince Carter2006,Vince Carter,29,NJN,21.6,0.536,0.242,0.396,4.9,4.4,9.3,0.153,3.8,0.5,4.2,4.6,2006,2007,15411031.25
4456,7.0,0.491,14.2,1.9,0.35700000000000004,5.3,4.8,0.4,4.6,8.9,0.45399999999999996,19.5,5.6,0.802,7.0,82,82,38.1,1.4,3.2,25.2,1.0,2.6,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Vince Carter2007,Vince Carter,30,NJN,21.8,0.5589999999999999,0.273,0.36,7.4,3.1,10.5,0.161,4.5,-0.7,3.8,4.6,2007,2007,15411031.25
737,3.0,0.45399999999999996,6.6,2.1,0.426,4.8,5.8,0.1,2.8,5.1,0.442,11.4,4.3,0.898,4.8,80,80,35.8,0.6,2.4,16.5,1.0,2.3,3.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Chauncey Billups2005,Chauncey Billups,28,DET,19.0,0.609,0.424,0.418,8.6,3.5,12.1,0.20199999999999999,4.3,-0.8,3.6,4.0,2005,2007,12100000.0
738,3.0,0.40700000000000003,7.2,2.3,0.433,5.2,8.6,0.1,2.6,5.2,0.418,12.5,5.7,0.894,6.4,81,81,36.1,0.5,2.0,18.5,0.9,2.1,3.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Chauncey Billups2006,Chauncey Billups,29,DET,23.4,0.602,0.42,0.514,12.7,2.8,15.5,0.254,6.5,-2.1,4.5,4.8,2006,2007,12100000.0
739,3.4,0.479,7.1,1.6,0.345,4.5,7.2,0.2,3.1,5.0,0.42700000000000005,11.6,5.5,0.883,6.2,70,70,36.2,0.3,2.3,17.0,1.2,2.0,3.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Chauncey Billups2007,Chauncey Billups,30,DET,21.3,0.591,0.38799999999999996,0.536,8.7,2.7,11.4,0.21600000000000003,5.1,-0.9,4.1,3.9,2007,2007,12100000.0
3266,3.6,0.456,8.0,0.4,0.32299999999999995,1.2,6.1,0.1,2.4,4.0,0.43799999999999994,9.2,1.7,0.85,2.0,80,80,28.2,0.6,2.8,10.2,0.9,2.5,3.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Mo Williams2005,Mo Williams,22,MIL,14.1,0.504,0.134,0.217,1.2,1.0,2.2,0.046,0.3,-1.4,-1.1,0.5,2005,2007,8543833.333333334
